Year,Value
191308,-0.12
191309,-0.28
191310,-0.35
191311,0.13
191312,0.44
191401,0.82
191402,0.06
191403,-0.17
191404,-0.30
191405,0.07
191406,-0.01
191407,-0.22
191408,-0.26
191409,-0.19
191410,-0.07
191411,-0.23
191412,-0.22
191501,-0.30
191502,0.09
191503,-0.20
191504,0.20
191505,0.03
191506,-0.19
191507,0.01
191508,-0.12
191509,-0.27
191510,-0.47
191511,0.16
191512,0.01
191601,-0.17
191602,-0.27
191603,-0.60
191604,-0.36
191605,-0.39
191606,-0.55
191607,-0.35
191608,-0.41
191609,-0.41
191610,-0.39
191611,-0.56
191612,-1.19
191701,-0.53
191702,-0.90
191703,-1.01
191704,-0.65
191705,-0.95
191706,-0.57
191707,-0.25
191708,-0.37
191709,-0.28
191710,-0.71
191711,-0.16
191712,-1.29
191801,-0.64
191802,-0.65
191803,-0.46
191804,-0.77
191805,-0.79
191806,-0.49
191807,-0.42
191808,-0.42
191809,-0.21
191810,-0.02
191811,-0.33
191812,-0.88
191901,-0.62
191902,-0.22
191903,-0.53
191904,0.07
191905,-0.44
191906,-0.27
191907,-0.12
191908,-0.20
191909,-0.20
191910,-0.26
191911,-0.68
191912,-0.56
192001,-0.07
192002,-0.65
192003,-0.06
192004,-0.26
192005,-0.16
192006,-0.40
192007,-0.20
192008,-0.30
192009,-0.31
192010,-0.42
192011,-0.48
192012,-1.06
192101,0.20
192102,-0.16
192103,-0.25
192104,-0.16
192105,-0.15
192106,-0.02
192107,-0.06
192108,-0.42
192109,-0.24
192110,-0.19
192111,-0.36
192112,-0.05
192201,-0.66
192202,-0.72
192203,-0.12
192204,-0.04
192205,-0.26
192206,-0.12
192207,-0.18
192208,-0.32
192209,-0.34
192210,-0.33
192211,-0.04
192212,-0.17
192301,-0.14
192302,-0.74
192303,-0.41
192304,-0.80
192305,-0.46
192306,-0.22
192307,-0.42
192308,-0.38
192309,-0.27
192310,-0.05
192311,0.19
192312,0.07
192401,-0.51
192402,-0.32
192403,-0.08
192404,-0.50
192405,-0.24
192406,-0.20
192407,-0.15
192408,-0.28
192409,-0.18
192410,-0.26
192411,0.05
192412,-0.43
192501,-0.50
192502,-0.53
192503,-0.14
192504,0.02
192505,-0.26
192506,-0.36
192507,-0.34
192508,-0.16
192509,-0.11
192510,-0.31
192511,0.23
192512,0.53
192601,0.54
192602,0.39
192603,0.39
192604,-0.35
192605,-0.32
192606,-0.16
192607,-0.30
192608,-0.08
192609,-0.08
192610,0.06
192611,0.06
192612,-0.43
192701,-0.50
192702,-0.29
192703,-0.57
192704,-0.43
192705,-0.30
192706,-0.17
192707,-0.07
192708,-0.23
192709,0.15
192710,0.35
192711,0.08
192712,-0.63
192801,0.07
192802,-0.15
192803,-0.47
192804,-0.33
192805,-0.18
192806,-0.34
192807,-0.15
192808,-0.19
192809,-0.09
192810,-0.03
192811,0.20
192812,0.01
192901,-0.93
192902,-1.19
192903,-0.24
192904,-0.39
192905,-0.34
192906,-0.51
192907,-0.46
192908,-0.24
192909,-0.25
192910,0.04
192911,0.08
192912,-1.29
193001,-0.61
193002,-0.23
193003,0.20
193004,-0.31
193005,-0.26
193006,-0.11
193007,0.02
193008,0.00
193009,-0.27
193010,-0.13
193011,0.37
193012,0.03
193101,-0.07
193102,-0.63
193103,0.00
193104,-0.26
193105,-0.34
193106,0.05
193107,0.18
193108,0.19
193109,0.21
193110,0.42
193111,-0.01
193112,0.12
193201,0.84
193202,-0.36
193203,-0.44
193204,0.30
193205,-0.20
193206,-0.15
193207,-0.01
193208,-0.14
193209,0.17
193210,0.21
193211,-0.25
193212,-0.29
193301,-0.58
193302,-0.71
193303,-0.45
193304,-0.33
193305,-0.26
193306,-0.28
193307,-0.14
193308,-0.15
193309,-0.29
193310,-0.12
193311,-0.12
193312,-0.70
193401,-0.38
193402,0.44
193403,-0.47
193404,-0.44
193405,0.23
193406,-0.02
193407,-0.05
193408,-0.04
193409,-0.35
193410,0.03
193411,0.27
193412,0.13
193501,-0.55
193502,0.92
193503,0.04
193504,-0.63
193505,-0.34
193506,-0.19
193507,-0.05
193508,-0.09
193509,-0.07
193510,0.10
193511,-0.75
193512,-0.34
193601,-0.57
193602,-0.79
193603,-0.25
193604,-0.33
193605,-0.02
193606,-0.08
193607,0.22
193608,-0.01
193609,-0.07
193610,0.11
193611,0.16
193612,0.22
193701,-0.49
193702,0.22
193703,-0.49
193704,-0.33
193705,0.08
193706,0.20
193707,-0.03
193708,0.13
193709,0.29
193710,0.31
193711,0.19
193712,-0.26
193801,0.18
193802,0.13
193803,0.32
193804,0.53
193805,0.17
193806,-0.11
193807,0.05
193808,0.09
193809,0.29
193810,0.34
193811,0.40
193812,-0.26
193901,0.18
193902,0.04
193903,-0.35
193904,-0.18
193905,0.16
193906,0.10
193907,0.06
193908,0.11
193909,-0.07
193910,-0.18
193911,0.08
193912,1.25
194001,-0.46
194002,0.10
194003,0.06
194004,0.26
194005,-0.02
194006,0.10
194007,0.15
194008,0.01
194009,0.23
194010,0.08
194011,0.00
194012,0.44
194101,0.03
194102,0.28
194103,-0.02
194104,0.19
194105,0.16
194106,0.20
194107,0.24
194108,0.18
194109,-0.17
194110,0.32
194111,-0.14
194112,-0.07
194201,0.34
194202,-0.31
194203,0.01
194204,0.01
194205,-0.02
194206,0.15
194207,-0.09
194208,-0.06
194209,0.09
194210,0.17
194211,0.27
194212,0.14
194301,-0.38
194302,0.28
194303,-0.13
194304,0.24
194305,0.18
194306,-0.29
194307,0.00
194308,-0.13
194309,0.00
194310,0.41
194311,0.10
194312,0.56
194401,0.79
194402,0.34
194403,0.33
194404,0.01
194405,0.07
194406,0.11
194407,0.14
194408,0.14
194409,0.41
194410,0.37
194411,-0.10
194412,-0.30
194501,-0.19
194502,-0.65
194503,-0.15
194504,0.23
194505,-0.11
194506,-0.05
194507,-0.11
194508,0.40
194509,0.14
194510,0.21
194511,-0.02
194512,-0.52
194601,0.32
194602,0.31
194603,-0.11
194604,0.42
194605,-0.01
194606,-0.23
194607,-0.02
194608,-0.02
194609,-0.04
194610,-0.04
194611,0.07
194612,-0.67
194701,-0.31
194702,-0.15
194703,0.35
194704,0.27
194705,0.01
194706,0.02
194707,-0.07
194708,-0.06
194709,0.03
194710,0.47
194711,0.16
194712,-0.13
194801,0.61
194802,-0.01
194803,-0.33
194804,0.05
194805,0.21
194806,0.12
194807,0.04
194808,0.03
194809,0.05
194810,0.13
194811,0.06
194812,-0.19
194901,0.49
194902,-0.40
194903,-0.16
194904,0.04
194905,0.11
194906,-0.19
194907,-0.16
194908,0.01
194909,-0.14
194910,0.04
194911,0.06
194912,-0.35
195001,-0.76
195002,-0.45
195003,-0.12
195004,-0.31
195005,-0.02
195006,-0.11
195007,-0.28
195008,-0.37
195009,-0.10
195010,-0.25
195011,-0.82
195012,-0.14
195101,-0.58
195102,-0.99
195103,-0.25
195104,-0.11
195105,0.16
195106,-0.11
195107,0.03
195108,0.09
195109,0.32
195110,0.19
195111,-0.02
195112,0.59
195201,0.31
195202,0.06
195203,-0.32
195204,0.05
195205,0.03
195206,0.00
195207,0.13
195208,0.05
195209,0.16
195210,-0.23
195211,-0.73
195212,-0.12
195301,0.21
195302,0.39
195303,0.49
195304,0.36
195305,0.18
195306,0.19
195307,0.06
195308,0.15
195309,0.16
195310,0.20
195311,-0.23
195312,0.27
195401,-0.68
195402,-0.21
195403,-0.20
195404,-0.28
195405,-0.37
195406,-0.07
195407,-0.13
195408,0.04
195409,0.08
195410,0.11
195411,0.41
195412,-0.23
195501,0.66
195502,-0.05
195503,-0.74
195504,-0.45
195505,-0.10
195506,0.01
195507,-0.20
195508,0.13
195509,-0.02
195510,0.09
195511,-0.29
195512,-0.44
195601,-0.41
195602,-0.62
195603,-0.42
195604,-0.51
195605,-0.42
195606,-0.21
195607,-0.22
195608,-0.40
195609,-0.41
195610,-0.38
195611,-0.41
195612,-0.40
195701,-0.33
195702,-0.36
195703,-0.31
195704,-0.27
195705,-0.07
195706,0.12
195707,-0.17
195708,0.05
195709,0.12
195710,-0.05
195711,0.17
195712,0.62
195801,0.76
195802,0.38
195803,0.11
195804,0.09
195805,0.17
195806,-0.07
195807,0.06
195808,-0.02
195809,-0.14
195810,-0.02
195811,0.15
195812,0.25
195901,0.22
195902,0.05
195903,0.57
